-0.33015 -0.08330 0.21606 0.10090 -0.26029 -0.05568 0.35900
-0.27512 -0.14739 0.17397 0.21324 -0.15337 0.19731 -0.82304
-0.16507 0.47131 -0.23396 -0.66925 0.11755 -0.22942 -0.28357
-0.42519 0.08783 0.10990 -0.15410 0.42576 0.29571 0.21595
-0.37017 0.10581 0.09201 -0.01398 -0.12298 0.19601 0.23615
-0.45020 -0.28745 -0.34033 0.07599 -0.19025 -0.67404 0.02184
-0.31014 0.18737 0.19022 -0.21827 -0.54286 0.23681 -0.00315
-0.05502 0.08050 0.78377 0.00702 0.30822 -0.47829 -0.07206
-0.01000 0.77569 -0.10271 0.58173 -0.08738 -0.13389 0.00800
-0.41018 -0.06619 -0.26631 0.28395 0.51476 0.14955 -0.07188
